                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
rsyn0815h                     1.00=    32.00-  1.00=  1.00=        555.00-     6927.00-       6927.00-
rsyn0815m02hfsg               1.00=    50.00-  1.00=  1.00=       5439.00-     3873.00-       5439.00-
rsyn0815m02h                  1.00=    50.00-  1.00=  1.00=       6389.00-     7515.00-       7515.00-
rsyn0815m03hfsg               1.00=    80.00-  1.00=  1.00=       5455.00-    43976.00-      43976.00-
rsyn0815m03h                  1.00=    80.00-  1.00=  1.00=       6772.00-    54285.00-      54285.00-
rsyn0815m03m                  1.00=    88.00-  1.00=  1.00=      49374.00-  1905788.00-    1905788.00-
rsyn0815m04hfsg               1.00=   122.00-  1.00=  1.00=       6953.00-    36652.00-      36652.00-
rsyn0815m04h                  1.00=   124.00-  1.00=  1.00=       9353.00-    40976.00-      40976.00-
rsyn0815m04m                  1.00=    90.00-  1.00=  1.00=     230057.00-  1333987.00-    1333987.00-
rsyn0815m                     1.00=    30.00-  1.00=  1.00=       1235.00-  1084767.00-    1084767.00-
rsyn0820hfsg                  1.00=    50.00-  1.00=  1.00=       1198.00-     6282.00-       6282.00-
rsyn0820h                     1.00=    50.00-  1.00=  1.00=       1260.00-     6682.00-       6682.00-
rsyn0820m02hfsg               1.00=    82.00-  1.00=  1.00=       4658.00-    43901.00-      43901.00-
rsyn0820m02h                  1.00=    82.00-  1.00=  1.00=       5562.00-    46105.00-      46105.00-
rsyn0820m02m                  1.00=    86.00-  1.00=  1.00=      92063.00-  2291067.00-    2291067.00-
rsyn0820m03hfsg               1.00=    80.00-  1.00=  1.00=       5009.00-   191381.00-     191381.00-
rsyn0820m03h                  1.00=    81.00-  1.00=  1.00=       6084.00-   161547.00-     161547.00-
rsyn0820m03m                  1.00=   103.00-  1.00=  1.00=     570949.00-  1610447.00-    1610447.00-
rsyn0820m04hfsg               1.00=    83.00-  1.00=  1.00=       9144.00-   147406.00-     147406.00-
rsyn0820m04h                  1.00=    83.00-  1.00=  1.00=      13818.00-   143580.00-     143580.00-
