                        SHOT_cpx_m.1 SHOT_cpx_m_ecp.1 SHOT_cpx_m_ecp_nonlp.1 SHOT_cpx_m_opt_nosp.1 SHOT_cpx_m_opt_sp.1 SHOT_cpx_m_t1.1 SHOT_cpx_s.1 SHOT_cpx_s_ecp.1 SHOT_cpx_s_nomiqp.1 SHOT_cpx_s_t1.1 SHOT_grb_m.1 SHOT_grb_m_t1.1 SHOT_grb_s.1 SHOT_grb_s_nomiqp.1 SHOT_grb_s_t1.1 virt. worst
sssd25-08                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
stockcycle                     0.99=            0.99=                  0.99=                 0.98=               0.99=           0.98=        0.98=            0.99=               0.98=           0.98=        0.99=           0.97=        1.00=               1.00=           0.99=       0.97=
syn30m04h                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
syn40m04h                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
syn40m04m                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
tls12                          0.78-            0.92=                  0.76-                 1.00=               1.00=           0.80-        0.56-            0.60-               0.57-           0.61-        0.52-           0.54-        0.81-               0.81-           0.78-       0.52-
tls4                           1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
tls5                           0.87-            0.86-                  0.82-                 1.00=               1.00=           0.79-        0.86-            0.83-               0.87-           0.79-        0.74-           0.80-        0.86-               0.86-           0.70-       0.70-
tls6                           0.88-            0.91=                  0.90=                 1.00=               0.97=           0.80-        0.82-            0.67-               0.76-           0.77-        0.97=           0.53-        0.68-               0.68-           0.61-       0.53-
tls7                           0.93=            0.59-                  0.62-                 1.00=               1.00=           0.96=        0.24-            0.48-               0.24-           0.74-        1.00=           0.67-        0.80-               0.80-           0.76-       0.24-
watercontamination0202r        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=             -76.50-           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=     -76.50-
